actor,message,tool_call,timestamp
user,"Añade articulo de ""Rubiks cube"" con stock de 12",,2026-07-15T18:45:03.254709+00:00
user,"Añade articulo de ""Rubiks cube"" con stock de 12",,2026-07-15T18:47:05.196867+00:00
tool,"{""name"": ""Rubiks cube"", ""quantity"": 12, ""unit"": ""pieza""}",create_product,2026-07-15T18:47:06.072957+00:00
tool,"{""id"": 2, ""name"": ""Rubiks cube"", ""quantity"": 12, ""unit"": ""pieza""}",create_product,2026-07-15T18:47:06.082975+00:00
assistant,"¡Listo! He creado el artículo **Rubiks cube** con un stock inicial de **12 piezas**. Si necesitas más acciones, avísame.",,2026-07-15T18:47:06.253308+00:00
user,Listame los productos disponibles,,2026-07-15T18:47:30.635205+00:00
tool,{},get_inventory,2026-07-15T18:47:30.955835+00:00
tool,"[{""id"": 1, ""name"": ""arroz"", ""quantity"": 15, ""unit"": ""kg""}, {""id"": 2, ""name"": ""Rubiks cube"", ""quantity"": 12, ""unit"": ""pieza""}]",get_inventory,2026-07-15T18:47:30.959096+00:00
assistant,"Aquí tienes el inventario actual:

| ID | Producto      | Cantidad | Unidad |
|----|---------------|----------|--------|
| 1  | arroz         | 15       | kg |
| 2  | Rubiks cube   | 12       | pieza |

Si deseas agregar, actualizar o consultar alertas de stock, dime qué necesitas.",,2026-07-15T18:47:31.454172+00:00
user,"Añade 20 articulos con cantidades aleatorias, tipo de unidad según el articulo",,2026-07-15T18:48:22.280372+00:00
tool,"{""name"": ""Manzanas"", ""quantity"": 57, ""unit"": ""kg""}",create_product,2026-07-15T18:48:22.915949+00:00
tool,"{""id"": 3, ""name"": ""Manzanas"", ""quantity"": 57, ""unit"": ""kg""}",create_product,2026-07-15T18:48:22.919289+00:00
tool,"{""name"": ""L\u00e1pices"", ""quantity"": 84, ""unit"": ""unidad""}",create_product,2026-07-15T18:48:23.604725+00:00
tool,"{""id"": 4, ""name"": ""L\u00e1pices"", ""quantity"": 84, ""unit"": ""unidad""}",create_product,2026-07-15T18:48:23.607940+00:00
tool,"{""name"": ""Naranjas"", ""quantity"": 23, ""unit"": ""kg""}",create_product,2026-07-15T18:48:24.786549+00:00
tool,"{""id"": 5, ""name"": ""Naranjas"", ""quantity"": 23, ""unit"": ""kg""}",create_product,2026-07-15T18:48:24.798080+00:00
tool,"{""name"": ""Leche"", ""quantity"": 30, ""unit"": ""litro""}",create_product,2026-07-15T18:48:25.920122+00:00
tool,"{""id"": 6, ""name"": ""Leche"", ""quantity"": 30, ""unit"": ""litro""}",create_product,2026-07-15T18:48:25.923497+00:00
tool,"{""name"": ""Pan"", ""quantity"": 45, ""unit"": ""kg""}",create_product,2026-07-15T18:48:26.786538+00:00
tool,"{""id"": 7, ""name"": ""Pan"", ""quantity"": 45, ""unit"": ""kg""}",create_product,2026-07-15T18:48:26.789691+00:00
tool,"{""name"": ""Tomates"", ""quantity"": 68, ""unit"": ""kg""}",create_product,2026-07-15T18:48:27.549005+00:00
tool,"{""id"": 8, ""name"": ""Tomates"", ""quantity"": 68, ""unit"": ""kg""}",create_product,2026-07-15T18:48:27.552584+00:00
tool,"{""name"": ""Cereal"", ""quantity"": 34, ""unit"": ""kg""}",create_product,2026-07-15T18:48:28.976342+00:00
tool,"{""id"": 9, ""name"": ""Cereal"", ""quantity"": 34, ""unit"": ""kg""}",create_product,2026-07-15T18:48:28.979717+00:00
tool,"{""name"": ""Huevos"", ""quantity"": 78, ""unit"": ""unidad""}",create_product,2026-07-15T18:48:30.039237+00:00
tool,"{""id"": 10, ""name"": ""Huevos"", ""quantity"": 78, ""unit"": ""unidad""}",create_product,2026-07-15T18:48:30.053532+00:00
tool,"{""name"": ""Queso"", ""quantity"": 52, ""unit"": ""kg""}",create_product,2026-07-15T18:48:38.986455+00:00
tool,"{""id"": 11, ""name"": ""Queso"", ""quantity"": 52, ""unit"": ""kg""}",create_product,2026-07-15T18:48:38.989712+00:00
tool,"{""name"": ""Zanahorias"", ""quantity"": 41, ""unit"": ""kg""}",create_product,2026-07-15T18:48:44.719253+00:00
